,Items,(Ordered) Frequent Items
18,"['Cheese', 'Tea Powder', 'Sweet', 'Lassi', 'Coffee Powder', 'Sugar']","['Coffee Powder', 'Sweet', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
19,"['Panner', 'Lassi', 'Butter', 'Cheese', 'Yougurt', 'Tea Powder', 'Milk']","['Milk', 'Yougurt', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
20,"['Coffee Powder', 'Cheese', 'Tea Powder', 'Yougurt', 'Sugar']","['Coffee Powder', 'Yougurt', 'Sugar', 'Cheese', 'Tea Powder']"
21,"['Lassi', 'Ghee', 'Cheese', 'Sweet', 'Coffee Powder', 'Bread']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Cheese', 'Lassi']"
22,"['Coffee Powder', 'Panner', 'Butter', 'Ghee', 'Tea Powder', 'Yougurt']","['Ghee', 'Coffee Powder', 'Yougurt', 'Butter', 'Panner', 'Tea Powder']"
23,"['Yougurt', 'Sweet', 'Milk', 'Butter', 'Coffee Powder', 'Lassi']","['Milk', 'Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Lassi']"
24,"['Sugar', 'Coffee Powder', 'Milk', 'Butter', 'Cheese', 'Yougurt']","['Milk', 'Coffee Powder', 'Yougurt', 'Sugar', 'Butter', 'Cheese']"
25,"['Lassi', 'Yougurt', 'Ghee', 'Cheese', 'Butter', 'Milk', 'Panner']","['Milk', 'Ghee', 'Yougurt', 'Butter', 'Cheese', 'Panner', 'Lassi']"
26,"['Panner', 'Yougurt', 'Sugar', 'Coffee Powder', 'Milk', 'Cheese']","['Milk', 'Coffee Powder', 'Yougurt', 'Sugar', 'Cheese', 'Panner']"
27,"['Panner', 'Milk', 'Sweet']","['Milk', 'Sweet', 'Panner']"
28,"['Bread', 'Coffee Powder']","['Coffee Powder', 'Bread']"
29,"['Sweet', 'Cheese']","['Sweet', 'Cheese']"
30,"['Yougurt', 'Bread', 'Tea Powder', 'Coffee Powder']","['Coffee Powder', 'Yougurt', 'Bread', 'Tea Powder']"
31,"['Lassi', 'Sweet', 'Panner']","['Sweet', 'Panner', 'Lassi']"
32,"['Milk', 'Butter', 'Bread', 'Tea Powder', 'Panner', 'Ghee']","['Milk', 'Ghee', 'Bread', 'Butter', 'Panner', 'Tea Powder']"
33,"['Butter', 'Cheese', 'Panner', 'Sugar']","['Sugar', 'Butter', 'Cheese', 'Panner']"
34,"['Cheese', 'Yougurt', 'Sugar', 'Bread', 'Butter', 'Panner']","['Yougurt', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner']"
35,"['Lassi', 'Bread', 'Panner', 'Milk']","['Milk', 'Bread', 'Panner', 'Lassi']"
36,"['Ghee', 'Bread', 'Cheese', 'Sugar', 'Coffee Powder', 'Sweet', 'Yougurt', 'Lassi']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Lassi']"
37,"['Bread', 'Yougurt', 'Ghee', 'Tea Powder', 'Panner', 'Milk', 'Lassi', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Panner', 'Lassi', 'Tea Powder']"
38,"['Sugar', 'Milk', 'Butter', 'Ghee', 'Cheese']","['Milk', 'Ghee', 'Sugar', 'Butter', 'Cheese']"
39,"['Cheese', 'Panner', 'Sugar', 'Yougurt', 'Ghee']","['Ghee', 'Yougurt', 'Sugar', 'Cheese', 'Panner']"
40,"['Sweet', 'Panner', 'Bread']","['Bread', 'Sweet', 'Panner']"
41,"['Coffee Powder', 'Milk', 'Bread']","['Milk', 'Coffee Powder', 'Bread']"
42,"['Cheese', 'Lassi', 'Coffee Powder', 'Tea Powder', 'Bread', 'Panner', 'Butter']","['Coffee Powder', 'Bread', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
43,"['Cheese', 'Tea Powder', 'Milk', 'Yougurt', 'Ghee']","['Milk', 'Ghee', 'Yougurt', 'Cheese', 'Tea Powder']"
44,"['Sugar', 'Yougurt', 'Bread', 'Butter', 'Ghee', 'Milk', 'Lassi']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Lassi']"
45,"['Butter', 'Tea Powder', 'Cheese', 'Yougurt', 'Bread', 'Ghee', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Tea Powder']"
46,"['Sugar', 'Milk']","['Milk', 'Sugar']"
47,"['Sweet', 'Butter']","['Sweet', 'Butter']"
48,"['Yougurt', 'Bread', 'Sweet']","['Yougurt', 'Bread', 'Sweet']"
49,"['Cheese', 'Coffee Powder', 'Butter', 'Sugar', 'Panner', 'Bread', 'Lassi', 'Tea Powder', 'Ghee']","['Ghee', 'Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
50,"['Yougurt', 'Panner', 'Butter', 'Lassi', 'Sugar', 'Bread', 'Tea Powder', 'Milk']","['Milk', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
51,"['Butter', 'Lassi']","['Butter', 'Lassi']"
52,"['Sugar', 'Panner', 'Tea Powder', 'Sweet', 'Coffee Powder', 'Cheese', 'Lassi', 'Milk', 'Butter']","['Milk', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
53,"['Lassi', 'Butter']","['Butter', 'Lassi']"
54,"['Coffee Powder', 'Butter', 'Ghee']","['Ghee', 'Coffee Powder', 'Butter']"
55,"['Lassi', 'Butter', 'Bread', 'Ghee', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Bread', 'Butter', 'Lassi']"
56,"['Butter', 'Sugar', 'Yougurt']","['Yougurt', 'Sugar', 'Butter']"
57,"['Lassi', 'Butter']","['Butter', 'Lassi']"
58,"['Ghee', 'Bread', 'Cheese', 'Lassi', 'Tea Powder', 'Coffee Powder', 'Sweet', 'Butter']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
59,"['Panner', 'Milk', 'Bread', 'Yougurt']","['Milk', 'Yougurt', 'Bread', 'Panner']"
60,"['Panner', 'Tea Powder']","['Panner', 'Tea Powder']"
61,"['Bread', 'Panner']","['Bread', 'Panner']"
62,"['Yougurt', 'Sugar', 'Sweet', 'Ghee', 'Bread', 'Butter', 'Coffee Powder', 'Lassi', 'Tea Powder', 'Milk', 'Panner']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
63,"['Tea Powder', 'Sweet', 'Lassi', 'Ghee']","['Ghee', 'Sweet', 'Lassi', 'Tea Powder']"
64,"['Lassi', 'Coffee Powder', 'Sugar']","['Coffee Powder', 'Sugar', 'Lassi']"
65,"['Cheese', 'Sugar', 'Tea Powder', 'Butter']","['Sugar', 'Butter', 'Cheese', 'Tea Powder']"
66,"['Bread', 'Yougurt', 'Milk', 'Panner', 'Sweet', 'Tea Powder', 'Cheese']","['Milk', 'Yougurt', 'Bread', 'Sweet', 'Cheese', 'Panner', 'Tea Powder']"
67,"['Bread', 'Ghee', 'Yougurt', 'Milk', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread']"
68,"['Coffee Powder', 'Butter', 'Lassi', 'Ghee']","['Ghee', 'Coffee Powder', 'Butter', 'Lassi']"
69,"['Lassi', 'Bread', 'Coffee Powder', 'Milk', 'Sugar']","['Milk', 'Coffee Powder', 'Bread', 'Sugar', 'Lassi']"
70,"['Ghee', 'Milk', 'Coffee Powder', 'Yougurt', 'Sweet']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sweet']"
71,"['Coffee Powder', 'Tea Powder', 'Panner', 'Sweet', 'Ghee', 'Milk', 'Sugar']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Panner', 'Tea Powder']"
72,"['Lassi', 'Bread', 'Panner', 'Tea Powder', 'Milk']","['Milk', 'Bread', 'Panner', 'Lassi', 'Tea Powder']"
73,"['Ghee', 'Butter', 'Tea Powder', 'Bread', 'Sweet', 'Sugar', 'Yougurt']","['Ghee', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Tea Powder']"
74,"['Tea Powder', 'Panner', 'Coffee Powder']","['Coffee Powder', 'Panner', 'Tea Powder']"
75,"['Milk', 'Butter', 'Tea Powder', 'Sugar', 'Sweet']","['Milk', 'Sweet', 'Sugar', 'Butter', 'Tea Powder']"
76,"['Coffee Powder', 'Milk', 'Yougurt', 'Cheese', 'Tea Powder', 'Sugar', 'Bread']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Tea Powder']"
77,"['Coffee Powder', 'Lassi', 'Panner', 'Bread', 'Butter', 'Tea Powder']","['Coffee Powder', 'Bread', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
78,"['Cheese', 'Bread', 'Sugar', 'Sweet', 'Milk', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Cheese']"
79,"['Butter', 'Ghee', 'Sugar']","['Ghee', 'Sugar', 'Butter']"
80,"['Sugar', 'Yougurt', 'Coffee Powder', 'Butter', 'Sweet']","['Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter']"
81,"['Panner', 'Ghee']","['Ghee', 'Panner']"
82,"['Sweet', 'Lassi', 'Ghee', 'Coffee Powder', 'Sugar', 'Butter']","['Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Lassi']"
83,"['Tea Powder', 'Butter', 'Sugar']","['Sugar', 'Butter', 'Tea Powder']"
84,"['Tea Powder', 'Coffee Powder', 'Cheese', 'Milk', 'Lassi']","['Milk', 'Coffee Powder', 'Cheese', 'Lassi', 'Tea Powder']"
85,"['Panner', 'Lassi', 'Butter', 'Coffee Powder']","['Coffee Powder', 'Butter', 'Panner', 'Lassi']"
86,"['Butter', 'Sugar', 'Lassi', 'Panner']","['Sugar', 'Butter', 'Panner', 'Lassi']"
87,"['Milk', 'Cheese', 'Panner', 'Coffee Powder', 'Sweet']","['Milk', 'Coffee Powder', 'Sweet', 'Cheese', 'Panner']"
88,"['Panner', 'Tea Powder', 'Lassi', 'Yougurt', 'Coffee Powder', 'Bread', 'Cheese', 'Ghee']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
89,"['Butter', 'Panner', 'Coffee Powder', 'Sweet', 'Lassi']","['Coffee Powder', 'Sweet', 'Butter', 'Panner', 'Lassi']"
90,"['Lassi', 'Cheese', 'Panner', 'Bread', 'Ghee', 'Milk', 'Sweet', 'Sugar']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
91,"['Ghee', 'Yougurt', 'Coffee Powder', 'Panner']","['Ghee', 'Coffee Powder', 'Yougurt', 'Panner']"
92,"['Coffee Powder', 'Yougurt', 'Ghee', 'Cheese', 'Bread']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Cheese']"
93,"['Lassi', 'Tea Powder', 'Panner', 'Butter', 'Sweet']","['Sweet', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
94,"['Milk', 'Sweet', 'Butter', 'Cheese', 'Tea Powder', 'Panner']","['Milk', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
95,"['Tea Powder', 'Lassi', 'Coffee Powder', 'Cheese', 'Butter', 'Sugar', 'Sweet', 'Milk']","['Milk', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
96,"['Sweet', 'Bread', 'Coffee Powder', 'Cheese', 'Yougurt', 'Ghee', 'Tea Powder', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Cheese', 'Tea Powder']"
97,"['Yougurt', 'Milk', 'Bread', 'Butter', 'Lassi', 'Cheese', 'Sweet']","['Milk', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Lassi']"
98,"['Yougurt', 'Milk', 'Butter']","['Milk', 'Yougurt', 'Butter']"
99,"['Tea Powder', 'Bread', 'Sweet', 'Cheese']","['Bread', 'Sweet', 'Cheese', 'Tea Powder']"
100,"['Panner', 'Tea Powder']","['Panner', 'Tea Powder']"
101,"['Bread', 'Panner', 'Cheese', 'Butter', 'Yougurt']","['Yougurt', 'Bread', 'Butter', 'Cheese', 'Panner']"
102,"['Coffee Powder', 'Tea Powder', 'Sweet', 'Bread', 'Milk', 'Lassi', 'Ghee']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Lassi', 'Tea Powder']"
103,"['Yougurt', 'Lassi', 'Cheese', 'Sugar', 'Butter']","['Yougurt', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
104,"['Milk', 'Yougurt', 'Tea Powder', 'Lassi', 'Sweet', 'Cheese', 'Bread']","['Milk', 'Yougurt', 'Bread', 'Sweet', 'Cheese', 'Lassi', 'Tea Powder']"
105,"['Milk', 'Coffee Powder', 'Cheese', 'Panner', 'Ghee', 'Sugar', 'Tea Powder', 'Sweet']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Tea Powder']"
106,"['Sugar', 'Butter', 'Tea Powder', 'Coffee Powder', 'Bread', 'Milk', 'Lassi']","['Milk', 'Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Lassi', 'Tea Powder']"
107,"['Ghee', 'Tea Powder', 'Sweet']","['Ghee', 'Sweet', 'Tea Powder']"
108,"['Lassi', 'Panner', 'Milk', 'Tea Powder', 'Ghee']","['Milk', 'Ghee', 'Panner', 'Lassi', 'Tea Powder']"
109,"['Milk', 'Panner', 'Sweet', 'Sugar', 'Bread', 'Butter']","['Milk', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner']"
110,"['Sugar', 'Milk', 'Bread']","['Milk', 'Bread', 'Sugar']"
111,"['Butter', 'Milk', 'Tea Powder', 'Yougurt', 'Ghee']","['Milk', 'Ghee', 'Yougurt', 'Butter', 'Tea Powder']"
112,"['Butter', 'Bread', 'Cheese', 'Coffee Powder']","['Coffee Powder', 'Bread', 'Butter', 'Cheese']"
113,"['Cheese', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Tea Powder', 'Butter']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Tea Powder']"
114,"['Yougurt', 'Coffee Powder', 'Sugar', 'Milk']","['Milk', 'Coffee Powder', 'Yougurt', 'Sugar']"
115,"['Ghee', 'Bread', 'Tea Powder', 'Butter', 'Panner', 'Cheese']","['Ghee', 'Bread', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
116,"['Bread', 'Butter', 'Milk', 'Panner', 'Sugar', 'Cheese', 'Sweet', 'Ghee', 'Yougurt']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner']"
117,"['Butter', 'Panner', 'Milk']","['Milk', 'Butter', 'Panner']"
118,"['Tea Powder', 'Panner', 'Butter', 'Sugar']","['Sugar', 'Butter', 'Panner', 'Tea Powder']"
119,"['Panner', 'Sweet', 'Cheese', 'Lassi', 'Sugar', 'Coffee Powder']","['Coffee Powder', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
120,"['Butter', 'Cheese', 'Lassi', 'Yougurt', 'Ghee']","['Ghee', 'Yougurt', 'Butter', 'Cheese', 'Lassi']"
121,"['Milk', 'Sugar', 'Cheese', 'Sweet', 'Panner']","['Milk', 'Sweet', 'Sugar', 'Cheese', 'Panner']"
122,"['Sugar', 'Cheese', 'Butter', 'Ghee', 'Coffee Powder', 'Panner']","['Ghee', 'Coffee Powder', 'Sugar', 'Butter', 'Cheese', 'Panner']"
123,"['Ghee', 'Milk', 'Sweet']","['Milk', 'Ghee', 'Sweet']"
124,"['Yougurt', 'Lassi', 'Sweet', 'Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Butter']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Lassi']"
125,"['Sugar', 'Cheese', 'Tea Powder', 'Milk', 'Ghee', 'Bread', 'Panner']","['Milk', 'Ghee', 'Bread', 'Sugar', 'Cheese', 'Panner', 'Tea Powder']"
126,"['Sugar', 'Lassi', 'Cheese', 'Butter']","['Sugar', 'Butter', 'Cheese', 'Lassi']"
127,"['Bread', 'Cheese', 'Yougurt', 'Coffee Powder', 'Sugar', 'Butter']","['Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Cheese']"
128,"['Coffee Powder', 'Sugar', 'Lassi', 'Tea Powder', 'Ghee', 'Cheese']","['Ghee', 'Coffee Powder', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
129,"['Tea Powder', 'Sugar', 'Sweet', 'Yougurt', 'Coffee Powder', 'Ghee', 'Cheese', 'Panner']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Tea Powder']"
130,"['Butter', 'Milk', 'Ghee', 'Yougurt', 'Coffee Powder', 'Sweet', 'Bread', 'Sugar']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter']"
131,"['Lassi', 'Tea Powder', 'Sugar', 'Yougurt']","['Yougurt', 'Sugar', 'Lassi', 'Tea Powder']"
132,"['Bread', 'Sugar', 'Coffee Powder', 'Tea Powder', 'Lassi', 'Cheese', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
133,"['Butter', 'Milk', 'Coffee Powder', 'Sugar', 'Ghee', 'Panner', 'Tea Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Sugar', 'Butter', 'Panner', 'Tea Powder']"
134,"['Sweet', 'Yougurt', 'Bread', 'Tea Powder', 'Coffee Powder', 'Cheese']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Cheese', 'Tea Powder']"
135,"['Butter', 'Cheese', 'Coffee Powder', 'Bread', 'Tea Powder']","['Coffee Powder', 'Bread', 'Butter', 'Cheese', 'Tea Powder']"
136,"['Milk', 'Butter', 'Lassi']","['Milk', 'Butter', 'Lassi']"
137,"['Milk', 'Lassi', 'Panner', 'Butter', 'Bread', 'Coffee Powder', 'Ghee', 'Sugar']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Panner', 'Lassi']"
138,"['Coffee Powder', 'Butter', 'Bread', 'Lassi', 'Sugar', 'Panner', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Panner', 'Lassi']"
139,"['Yougurt', 'Panner', 'Butter', 'Coffee Powder', 'Tea Powder', 'Bread', 'Milk']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Panner', 'Tea Powder']"
140,"['Coffee Powder', 'Panner', 'Milk']","['Milk', 'Coffee Powder', 'Panner']"
141,"['Lassi', 'Coffee Powder', 'Tea Powder']","['Coffee Powder', 'Lassi', 'Tea Powder']"
142,"['Cheese', 'Tea Powder', 'Yougurt', 'Ghee']","['Ghee', 'Yougurt', 'Cheese', 'Tea Powder']"
143,"['Cheese', 'Lassi', 'Panner', 'Tea Powder', 'Sugar', 'Butter', 'Bread', 'Milk', 'Ghee', 'Sweet']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
144,"['Milk', 'Coffee Powder', 'Butter', 'Ghee', 'Lassi', 'Tea Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Butter', 'Lassi', 'Tea Powder']"
145,"['Tea Powder', 'Butter', 'Milk', 'Sugar', 'Panner', 'Lassi', 'Sweet', 'Cheese', 'Ghee']","['Milk', 'Ghee', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
146,"['Yougurt', 'Coffee Powder', 'Tea Powder', 'Sugar', 'Panner']","['Coffee Powder', 'Yougurt', 'Sugar', 'Panner', 'Tea Powder']"
147,"['Yougurt', 'Bread', 'Sugar', 'Lassi', 'Coffee Powder', 'Panner', 'Ghee', 'Cheese']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
148,"['Sugar', 'Tea Powder', 'Butter', 'Coffee Powder', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Sugar', 'Butter', 'Tea Powder']"
149,"['Ghee', 'Butter', 'Bread', 'Cheese', 'Lassi']","['Ghee', 'Bread', 'Butter', 'Cheese', 'Lassi']"
150,"['Cheese', 'Panner', 'Sweet', 'Yougurt', 'Lassi', 'Milk', 'Ghee', 'Tea Powder', 'Butter']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
151,"['Ghee', 'Milk']","['Milk', 'Ghee']"
152,"['Sugar', 'Panner', 'Milk', 'Bread', 'Coffee Powder', 'Tea Powder', 'Ghee']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Sugar', 'Panner', 'Tea Powder']"
153,"['Tea Powder', 'Sweet', 'Butter']","['Sweet', 'Butter', 'Tea Powder']"
154,"['Coffee Powder', 'Butter']","['Coffee Powder', 'Butter']"
155,"['Tea Powder', 'Bread', 'Sweet', 'Milk', 'Sugar', 'Panner', 'Yougurt']","['Milk', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Panner', 'Tea Powder']"
156,"['Lassi', 'Panner', 'Butter', 'Milk', 'Cheese', 'Coffee Powder', 'Tea Powder']","['Milk', 'Coffee Powder', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
157,"['Tea Powder', 'Milk']","['Milk', 'Tea Powder']"
158,"['Yougurt', 'Tea Powder', 'Sugar', 'Milk', 'Coffee Powder', 'Sweet', 'Panner', 'Bread']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Panner', 'Tea Powder']"
159,"['Butter', 'Sugar']","['Sugar', 'Butter']"
160,"['Tea Powder', 'Sweet', 'Bread', 'Butter', 'Yougurt']","['Yougurt', 'Bread', 'Sweet', 'Butter', 'Tea Powder']"
161,"['Yougurt', 'Sugar', 'Bread']","['Yougurt', 'Bread', 'Sugar']"
162,"['Panner', 'Ghee', 'Cheese']","['Ghee', 'Cheese', 'Panner']"
163,"['Bread', 'Milk', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Bread']"
164,"['Ghee', 'Tea Powder']","['Ghee', 'Tea Powder']"
165,"['Milk', 'Butter']","['Milk', 'Butter']"
166,"['Lassi', 'Milk', 'Sweet', 'Sugar', 'Butter', 'Coffee Powder', 'Ghee']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Lassi']"
167,"['Butter', 'Ghee', 'Sugar', 'Cheese', 'Panner', 'Tea Powder', 'Yougurt']","['Ghee', 'Yougurt', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
168,"['Coffee Powder', 'Lassi', 'Ghee']","['Ghee', 'Coffee Powder', 'Lassi']"
169,"['Sugar', 'Milk', 'Sweet', 'Tea Powder', 'Bread', 'Coffee Powder', 'Panner']","['Milk', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Panner', 'Tea Powder']"
170,"['Yougurt', 'Bread', 'Tea Powder', 'Lassi']","['Yougurt', 'Bread', 'Lassi', 'Tea Powder']"
171,"['Ghee', 'Tea Powder', 'Panner', 'Milk', 'Bread']","['Milk', 'Ghee', 'Bread', 'Panner', 'Tea Powder']"
172,"['Milk', 'Butter']","['Milk', 'Butter']"
173,"['Ghee', 'Tea Powder', 'Coffee Powder', 'Sugar']","['Ghee', 'Coffee Powder', 'Sugar', 'Tea Powder']"
174,"['Ghee', 'Cheese', 'Lassi', 'Butter', 'Sweet', 'Milk', 'Tea Powder', 'Yougurt']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
175,"['Yougurt', 'Cheese', 'Butter', 'Sweet', 'Coffee Powder', 'Milk', 'Ghee']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Cheese']"
176,"['Milk', 'Sweet', 'Ghee']","['Milk', 'Ghee', 'Sweet']"
177,"['Panner', 'Lassi', 'Coffee Powder', 'Yougurt', 'Butter', 'Sugar', 'Milk', 'Sweet']","['Milk', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Lassi']"
